"GEOID","NAME","variable","estimate","moe","Year"
"15","Hawaii","B01003_001",1295178,0,2009
"16","Idaho","B01003_001",1545801,0,2009
"17","Illinois","B01003_001",12910409,0,2009
"18","Indiana","B01003_001",6423113,0,2009
"19","Iowa","B01003_001",3007857,0,2009
"20","Kansas","B01003_001",2818747,0,2009
"21","Kentucky","B01003_001",4314113,0,2009
"22","Louisiana","B01003_001",4492076,0,2009
"23","Maine","B01003_001",1318301,0,2009
"24","Maryland","B01003_001",5699478,0,2009
"25","Massachusetts","B01003_001",6593587,0,2009
"26","Michigan","B01003_001",9969727,0,2009
"27","Minnesota","B01003_001",5266215,0,2009
"28","Mississippi","B01003_001",2951996,0,2009
"29","Missouri","B01003_001",5987580,0,2009
"30","Montana","B01003_001",974989,0,2009
"31","Nebraska","B01003_001",1796622,0,2009
"32","Nevada","B01003_001",2643085,0,2009
"33","New Hampshire","B01003_001",1324575,0,2009
"34","New Jersey","B01003_001",8707740,0,2009
"35","New Mexico","B01003_001",2009671,0,2009
"36","New York","B01003_001",19541453,0,2009
"37","North Carolina","B01003_001",9380884,0,2009
"38","North Dakota","B01003_001",646844,0,2009
"39","Ohio","B01003_001",11542645,0,2009
"40","Oklahoma","B01003_001",3687050,0,2009
"41","Oregon","B01003_001",3825657,0,2009
"42","Pennsylvania","B01003_001",12604767,0,2009
"44","Rhode Island","B01003_001",1053209,0,2009
"45","South Carolina","B01003_001",4561242,0,2009
"46","South Dakota","B01003_001",812383,0,2009
"47","Tennessee","B01003_001",6296254,0,2009
"48","Texas","B01003_001",24782302,0,2009
"49","Utah","B01003_001",2784572,0,2009
"50","Vermont","B01003_001",621760,0,2009
"51","Virginia","B01003_001",7882590,0,2009
"53","Washington","B01003_001",6664195,0,2009
"54","West Virginia","B01003_001",1819777,0,2009
"55","Wisconsin","B01003_001",5654774,0,2009
"56","Wyoming","B01003_001",544270,0,2009
"72","Puerto Rico","B01003_001",3967288,0,2009
"01","Alabama","B01003_001",4712651,NA,2010
"02","Alaska","B01003_001",691189,NA,2010
"04","Arizona","B01003_001",6246816,NA,2010
"05","Arkansas","B01003_001",2872684,NA,2010
"06","California","B01003_001",36637290,NA,2010
"08","Colorado","B01003_001",4887061,NA,2010
"09","Connecticut","B01003_001",3545837,NA,2010
"10","Delaware","B01003_001",881278,NA,2010
"11","District of Columbia","B01003_001",584400,NA,2010
"12","Florida","B01003_001",18511620,NA,2010
"13","Georgia","B01003_001",9468815,NA,2010
"15","Hawaii","B01003_001",1333591,NA,2010
"16","Idaho","B01003_001",1526797,NA,2010
"17","Illinois","B01003_001",12745359,NA,2010
"18","Indiana","B01003_001",6417398,NA,2010
"19","Iowa","B01003_001",3016267,NA,2010
"20","Kansas","B01003_001",2809329,NA,2010
"21","Kentucky","B01003_001",4285828,NA,2010
"22","Louisiana","B01003_001",4429940,NA,2010
"23","Maine","B01003_001",1327665,NA,2010
"24","Maryland","B01003_001",5696423,NA,2010
"25","Massachusetts","B01003_001",6477096,NA,2010
"26","Michigan","B01003_001",9952687,NA,2010
"27","Minnesota","B01003_001",5241914,NA,2010
"28","Mississippi","B01003_001",2941991,NA,2010
"29","Missouri","B01003_001",5922314,NA,2010
"30","Montana","B01003_001",973739,NA,2010
"31","Nebraska","B01003_001",1799125,NA,2010
"32","Nevada","B01003_001",2633331,NA,2010
"33","New Hampshire","B01003_001",1313939,NA,2010
"34","New Jersey","B01003_001",8721577,NA,2010
"35","New Mexico","B01003_001",2013122,NA,2010
"36","New York","B01003_001",19229752,NA,2010
"37","North Carolina","B01003_001",9271178,NA,2010
"38","North Dakota","B01003_001",659858,NA,2010
"39","Ohio","B01003_001",11512431,NA,2010
"40","Oklahoma","B01003_001",3675339,NA,2010
"41","Oregon","B01003_001",3761925,NA,2010
"42","Pennsylvania","B01003_001",12612705,NA,2010
"44","Rhode Island","B01003_001",1056389,NA,2010
"45","South Carolina","B01003_001",4511428,NA,2010
"46","South Dakota","B01003_001",799462,NA,2010
"47","Tennessee","B01003_001",6234968,NA,2010
